,Test Set values
0,867.7897805555547
1,-1055.8548428888898
2,350.81936288889136
3,1695.53591533333
4,2008.3140352222256
5,1202.8128238888896
6,924.0385122222216
7,345.1462183333316
8,-11.116541666669892
9,-371.07308055555416
10,-543.6496950000004
11,-17.04635055555272
12,2220.5972394444434
13,5847.326127777778
14,111.98392500000058
15,-858.0259855555557
16,-2365.1088038888884
17,-3176.9190100000014
18,-3112.7962616666623
19,-2468.601666666669
20,-1267.1624905555582
21,-651.0017894444426
22,-157.36101555555436
23,149.4189361111095
24,712.5559955555543
25,-1121.3884113333334
26,195.13667627778
27,2050.268033555556
28,1749.9409578333323
29,1528.6917847777802
30,837.965600555552
31,-342.1378577777798
32,-152.6089694444415
33,-252.96222388888776
34,-266.5662783333354
35,-445.0153533333322
36,2126.4299644444477
37,6018.347892222217
38,238.64427277777935
39,-499.0224872222206
40,-1719.2943044444437
41,-2732.099525555557
42,-3222.3119100000004
43,-2258.9251966666634
44,-1607.0064138888918
45,-736.612019444445
46,-289.82561499999775
47,-98.25759888888929
48,665.962083888888
49,-1889.4399797222231
50,349.38177000000167
51,2340.4821706666658
52,2143.479502444443
53,1614.4750371666673
54,1113.803240555557
55,262.0053072222217
56,-166.54252555555286
57,-489.85030222222485
58,-745.0466822222223
59,-301.45019444444523
60,2721.9807611111137
61,5363.667450000004
62,-43.805852777782945
63,-506.87743722222496
64,-1545.4454811111066
65,-2584.6687544444467
66,-3190.690012777777
67,-2611.4468911111107
68,-1468.557279444445
69,-876.6362361111131
70,-241.62410444443952
71,-56.967860000000655
72,292.7105255555543
73,-3058.5441216666677
74,-80.03357916666549
75,2104.1139803333335
76,2182.9007507777787
77,1624.1948469444435
78,1107.4520572222245
79,585.6628777777732
80,129.80787666666973
81,-409.66211777777784
82,-731.3731250000021
83,-530.3847633333319
84,2823.7970783333335
85,5951.23933
86,615.8210161111092
87,-182.94914055555253
88,-1499.8986305555554
89,-3542.4152277777794
90,-3228.78934388889
91,-2232.4286155555565
92,-1039.6558194444442
93,-713.4626433333324
94,-181.94813611111033
95,205.47711888889154
96,831.4483833333285
97,-851.0253609999999
98,-5.867493111108999
99,1776.1523517222192
100,1748.1704635555575
101,1556.075978277779
102,1132.01943
103,360.19377777777817
104,-160.94453333333524
105,-12.459327222226644
106,-542.8655938888842
107,-424.8078011111101
108,3269.781578888888
109,5390.208962222223
110,-62.10088833333794
111,-1012.8562349999995
112,-2353.230931666665
113,-3324.128182777775
114,-3278.580581111113
115,-2144.096611666664
116,-1298.529194444447
117,-600.9257272222239
118,-166.5167883333271
119,128.61767111110737
120,1310.2229499999994
121,-938.5104223333329
122,80.53595461111028
123,1740.9718224999997
124,1634.0032753333364
125,1500.6840776666654
126,1323.9375188888885
127,271.1696038888841
128,-182.44558166666323
129,-267.7641794444464
130,-576.7260333333326
131,-278.5091355555488
132,3195.071877222217
133,5405.466127777777
134,-115.67932333332995
135,-739.7975305555555
136,-2185.7377772222244
137,-3487.2728527777763
138,-3130.0242222222223
139,-2594.147082777778
140,-1527.7434250000042
141,-653.5875333333319
142,-280.64905499999793
143,306.2607422222206
144,1398.7316861111108
145,-781.2599892777762
146,134.62110888888841
147,1787.5560203333337
148,1636.0557615555551
149,1604.1437551666675
150,841.5923122222191
151,398.2410594444479
152,-84.27747166666805
153,-380.52806611111004
154,-409.2995527777783
155,-482.54956222222245
156,3411.323589444448
157,5561.007464999995
158,-320.6653738888892
159,-901.726920555553
160,-2262.902222222223
161,-3391.7502466666665
162,-3504.574955555556
163,-2040.5684861111113
164,-1382.273935000001
165,-581.2510688888905
166,-184.4587677777744
167,107.62859333333475
168,1181.7394538888843
169,-597.4963568888852
170,-136.3365149444435
171,2029.6059020555508
172,1357.6147722777782
173,1241.0515961111157
174,813.1448558333285
175,359.67320055556064
176,33.12931611111002
177,-43.136332777780055
178,-546.7445138888944
179,-418.8670127777733
180,4037.530473888888
181,5164.444672222224
182,-213.4738088888878
183,-836.1978888888916
184,-2451.489796111113
185,-3618.7705816666603
186,-2940.6871327777812
187,-2185.507547777779
188,-1670.919443888888
189,-751.5461294444431
190,-229.8459655555598
191,345.8392738888905
192,922.3799827777805
193,-993.8775632777763
194,444.059998666664
195,1498.4258218888901
196,2058.0205866111096
197,1274.0670950000024
198,1026.4518899999966
199,-501.4740899999997
200,104.55350333333641
201,-441.64115777777647
202,-697.520727222225
203,-377.0818911111127
204,4073.2938822222195
205,4593.086383333336
206,-25.886744444444155
207,-511.61633833333326
208,-1826.9016105555531
209,-3013.8215344444475
210,-3274.3171155555574
211,-2028.16380111111
212,-1733.716375
213,-711.7835683333324
214,-258.5785072222208
215,108.24650277777621
216,995.8295272222242
217,-1312.0196588333347
218,101.50257844444438
219,2035.7521865000012
220,2097.882830222221
221,1585.9588142222237
222,934.3287811111077
223,210.6639783333378
224,-178.0227066666703
225,-727.1101061111112
226,-736.5228250000002
227,-427.6874388888901
228,3798.012110555559
229,4969.703903333331
230,-157.77850611110966
231,-1015.8619566666677
