,Test Set values
232,-1584.5971861111102
233,-2749.867481666668
234,-3555.308381111107
235,-2076.3331627777807
236,-1322.4480427777817
237,-671.5676416666647
238,-443.3357961111105
239,-117.47479444444265
240,337.9187538888871
241,-2575.164832833334
242,-691.7580625555569
243,1731.2459927222224
244,2484.827519444445
245,1521.5531269444443
246,1137.3798918333339
247,794.4488183333342
248,210.86973055555416
249,-330.6383422222208
250,-495.08420777777786
251,-484.76709666666625
252,3548.999372777776
253,4831.717841666669
254,371.29983611111294
255,-349.01979000000205
256,-1483.683736666666
257,-2513.8799516666695
258,-3246.107877222221
259,-2379.7977916666678
260,-1436.9000827777782
261,-545.1418388888852
262,-241.2592338888898
263,92.31220388888669
264,539.9403999999995
265,-1657.8638044999989
266,533.764158222222
267,1691.2624927222198
268,2079.5116383888885
269,1624.393957
270,1159.6756476111111
271,740.3803700000024
272,72.44537833332994
273,-431.58605444444385
274,-417.8308961111072
275,-222.19701944444364
276,3875.651336111107
277,4111.788617777776
278,-368.0201383333296
279,-495.45519444444284
280,-1590.77996388889
281,-3002.822180555555
282,-3115.00289777778
283,-2366.1813722222214
284,-1598.0379627777802
285,-750.42665833333
286,-256.6443333333335
287,240.15107388888634
288,416.6981222222241
289,-1665.4288391666669
290,700.6367583333341
291,1772.0692129999989
292,1654.0870732777773
293,1548.170904166669
294,882.6755431666644
295,634.0779222222229
296,429.62018222222093
297,-208.99691777777096
298,-387.4255861111159
299,-40.222452777776425
300,4155.097535555548
301,4067.2080616666717
302,-297.2209044444425
303,-731.8943594444423
304,-1783.281436111112
305,-2724.0144561111156
306,-3162.8468866666663
307,-2778.6412433333317
308,-1849.2995827777775
309,-666.276034444443
310,-336.1042855555571
311,60.07433333333399
312,581.084078888889
313,-1724.3786672222232
314,464.8467602222263
315,1814.0915271666638
316,1796.856100000001
317,1475.7799712222186
318,1207.5017758888894
319,470.4169766111116
320,466.5036411111103
321,-125.31485999999877
322,-256.20262000000025
323,-193.25398555555864
324,4030.604613888892
325,3754.9518894444445
326,-408.05024666666606
327,-604.137718888891
328,-1543.9326538888854
329,-2597.8644833333346
330,-3389.9918216666665
331,-2462.4753649999984
332,-1640.3543133333371
333,-1004.1731872222229
334,-270.1437750000004
335,122.20908944444459
336,544.579247222224
337,-1802.7894421111105
338,344.186293666666
339,1532.1574156111112
340,2157.9119473888895
341,1491.591698777778
342,1132.0311427777779
343,544.6456605555542
344,106.49818166666952
345,-84.2427855555581
346,6.735013888890526
347,-156.71606222222547
348,4221.785837777781
349,3593.976674999998
350,-474.85092722222186
351,-447.16501555555806
352,-1556.1641527777722
353,-2805.632801666674
354,-3215.743668333329
355,-2790.1191877777783
356,-1543.4370538888872
357,-912.594583333335
358,-344.54494355555636
359,99.0218257777776
360,573.9881744444464
361,-1569.1322211111112
362,427.12568794444286
363,1740.5005693888909
364,2072.5437545555546
365,1459.5788319999995
366,1005.0288805555535
367,-32.86065166666253
368,336.8300833333344
369,-50.38406555556156
370,36.38728500000055
371,191.62394833333383
372,3632.976208333334
373,3327.9713327777754
374,-213.20006333333006
375,-238.7500833333322
376,-1257.0585294444427
377,-2351.09839166667
378,-2769.13106555555
379,-3016.352675000002
380,-1718.0889700000043
381,-1051.8215722222196
382,-374.451445555558
383,89.649247777779
384,527.5489072222229
385,-1884.3278313888895
386,-179.10092083333257
387,1859.866386333335
388,2300.7372999444447
389,1811.5812553888866
390,1091.3169099999977
391,966.5774150000034
392,126.57128999999642
393,-524.0563483333281
394,-606.3286800000026
395,-301.22525222221884
396,4178.760980555555
397,3816.5723249999937
398,-538.2155927777786
399,-996.992274999997
400,-1371.2626727777752
401,-1305.5397688888913
402,-2939.3420977777787
403,-2820.4792383333333
404,-1900.1476299999995
405,-1223.4184672222182
406,-560.7977372222234
407,-87.40229000000188
408,265.3211549444456
409,-2536.168098222224
410,-867.8445338888868
411,1458.9270642777774
412,2370.6643008333317
413,1997.8995879444444
414,1117.9838618888896
415,767.6709711111105
416,51.404992222222
417,-513.2774055555565
418,-843.3174422222221
419,67.69013777777921
420,4202.597834444441
421,3999.126316111113
422,-54.63175388889044
423,-176.5974261111079
424,-1195.9888511111096
425,-1662.879812777781
426,-2989.4296061111127
427,-2481.488202777775
428,-1847.6458555555546
429,-1208.0422977777798
430,-321.4951338888878
431,-15.481720555557198
432,470.4853749999981
433,-2241.153527388886
434,-899.4875200000006
435,1810.299478000001
436,2444.3217110555524
437,2250.1112781666675
438,1247.4765096666672
439,919.8410332777784
440,398.1600011111079
441,-370.56998055555215
442,-628.1102366666674
443,-162.17396333333113
444,4473.277496666666
445,3670.1306805555546
446,-178.51289944444568
447,-275.9719433333304
448,-1583.1820444444459
449,-2358.8930550000005
450,-3164.102562777778
451,-2676.0379938888873
452,-1379.5646588888887
453,-1030.110184999998
454,-415.0868063333344
455,200.92538688888638
456,667.7441433333335
457,-1415.7936558888869
458,89.23268794444253
459,1456.933021277777
460,1946.966055722223
461,1428.2063277222255
462,1324.5835682222166
463,560.1432338888916
464,58.42389222222118
465,-14.54753555555714
466,-228.3074566666616
467,-89.68381000000218
468,4404.07857888889
469,3388.9413172222235
470,-167.60326666666882
471,-400.701752222227
472,-1811.3207677777718
473,-2759.0755027777777
474,-3266.4572683333354
475,-2457.7139494444455
476,-1717.383565555556
477,-848.9913549999985
478,-519.8157964444435
479,36.54555950000025
480,673.9282149444462
481,-1345.02577788889
482,183.85885561111002
483,2136.713393722223
484,2230.777310555557
485,2182.7820033333337
486,1654.6298516666652
487,810.4039549999981
488,130.1693116666686
489,-273.6390199999986
490,-211.51190500000297
491,-32.531077222218194
492,5233.180618333336
493,2094.509438888886
494,-878.0699188888941
495,-576.5843422222171
496,-1760.4937266666675
497,-2734.220587222222
498,-3353.4431505555585
499,-2759.3305672222195
500,-1530.5314022222228
501,-865.6919311111121
502,-361.67527555555705
503,108.53792055555836
504,422.9289433333322
505,-1421.497505333331
506,138.06755333333044
507,2501.152143666668
508,2515.829651111111
509,1875.4311077777747
510,1300.5185983333324
511,791.7362055555565
512,-0.07953388888901501
513,40.690419444443386
514,-174.35425111110797
515,-84.0958266666677
516,4099.328562222221
517,2162.906476111115
518,-564.3893961111132
519,-196.60560833333525
520,-1728.6294388888857
521,-2792.8296405555557
522,-3523.439355555558
523,-2627.3619011111114
524,-1657.99923444444
525,-1120.7293205555582
526,-348.43043500000186
527,268.01649444444405
528,614.0427755555573
529,-1479.1504007777748
530,261.0272909999987
531,2288.9133019999995
532,2286.865053333335
533,1712.8941405555524
534,1045.8216883333373
535,69.98545222221928
536,319.6823311111111
537,-303.99202222222067
538,-146.36589333333157
539,-225.38016555555782
540,3767.315342777776
541,2979.7002538888887
542,-533.716382777773
543,-314.39955277778074
544,-1686.2818127777755
545,-2106.5502861111163
546,-2761.5312194444414
547,-2902.0421727777757
548,-1989.033173888889
549,-924.3022050000003
550,-399.95976388889005
551,9.245258333332272
552,583.4636250000023
553,-1560.191233777781
554,-481.943013333332
555,1245.5694835555546
556,2438.910130722223
557,1861.2157130000014
558,1328.3126014999978
559,651.0056755555564
560,40.46435166666549
561,-145.53940499999948
562,-338.1487722222227
563,-350.4621149999985
564,4129.540960555558
565,2417.7543149999988
566,-81.2456738888904
567,-503.35011166666663
568,-789.7206044444391
569,-1725.6861144444483
570,-2800.354239444445
571,-2775.268853333335
572,-1862.1707505555532
573,-1116.3613350000012
574,-563.6294744444423
575,-51.76798222222196
576,498.2793772222192
577,-2037.8106832777755
578,-1192.848623833335
579,2135.3474132222213
580,2361.172147222221
581,2445.389985000001
582,1343.5776183333326
583,957.5653000000017
584,348.43204666666475
585,-329.9410816666642
586,-323.0606905555577
587,-1682.2330722222214
588,4650.242980555555
589,3479.6923066666636
590,79.98250611111506
591,-284.4412877777794
592,-1273.9656516666691
593,-1907.7249194444448
594,-2876.69227944444
595,-2563.416411666669
596,-1703.6568744444448
597,-914.5405477777748
598,-497.3853577777772
599,133.5808877777743
600,726.5406444444451
601,-1650.9357152777775
602,-557.1618149999998
603,2917.9965547222196
604,2845.787085000003
605,2063.2388355555554
606,1312.5717838888852
607,891.9792522222233
608,-24.12650444444428
609,-344.62097944444383
610,-306.54706111110886
611,-665.3642683333343
612,4281.1453550000015
613,2391.7967249999965
614,-392.57220333332947
615,-420.81882277777555
616,-1492.0609016666713
617,-2481.3516244444436
618,-3307.6179049999955
619,-2500.821421666671
620,-2018.9077199999992
621,-967.4739322222229
622,-242.7251327777814
623,85.11401000000136
624,501.614271111117
625,-1582.1402028888933
626,-333.73418661111106
627,2906.3012817222225
628,2660.4404388888875
629,2114.2888533333353
630,1387.3439338888895
631,701.5498488888843
632,53.68415333333515
633,-271.35765722221566
634,-257.7926927777845
635,-1584.6636838888842
636,4971.648218333332
637,2481.304260000001
638,-453.9480394444473
639,-439.91977055555634
640,-1208.9713066666661
641,-2187.703209444444
642,-3590.0473100000017
643,-2644.8562244444397
644,-1741.2675188888898
645,-1123.478992777778
646,-578.7961138888897
647,97.61871777777549
648,762.7129705555561
649,-1397.8807574444418
650,-902.5835140555556
651,2334.217560888887
652,2474.743010611113
653,2017.919589999998
654,1142.3486838888894
655,633.6414688888906
656,-23.623213888888348
657,-60.24918111111055
658,-466.8883044444483
659,-46.35352499999871
660,5439.503157222221
661,2371.314977222224
662,-704.2361255555553
663,-417.8713794444486
664,-1417.7862577777742
665,-2799.240743333332
666,-2910.4219561111095
667,-2877.844668888891
668,-1756.3378722222224
669,-895.0290711111155
670,-547.6775316666643
671,-23.950313333334417
672,548.3637016666654
673,-1205.50802383333
674,-673.1449485555553
675,2662.921153499999
676,2638.2545694444457
677,2490.95393333333
678,1568.4719072222213
679,444.508090000003
680,1.8117638888905458
681,-228.25950388889382
682,-235.30520999999874
683,-871.6594955555555
684,4569.49270166667
685,2387.6419477777745
686,-463.9251894444459
687,-367.6623344444414
688,-1495.3323455555546
689,-2232.1262238888885
690,-2887.0644350000002
691,-2945.3771261111106
692,-1971.9115572222254
693,-1198.7337788888874
694,-416.7307799999982
695,115.7211549999992
696,657.6239049999967
697,-1199.7610996111068
698,-779.1373420555574
699,2223.5444216666688
700,2850.3414166666626
701,2242.464489444447
702,1486.1478550000031
703,-443.7892466666711
704,340.381713888888
705,-170.0523033333303
706,-413.1040216666698
707,-1198.7956188888857
708,5145.914763888886
709,2856.4750161111115
710,-289.89733888889185
711,-390.8242222222179
712,-1456.0192416666687
713,-2469.468804444441
714,-2953.159644444444
715,-2872.144284444447
716,-1769.5912438888918
717,-1086.3126927777776
718,-531.6941611111106
719,-44.69483222221984
720,589.5132466666655
721,-1386.572816666665
722,-1402.7272022777797
723,2210.5131994999992
724,2779.7929055555574
725,2347.5866661111104
726,1297.5632044444467
727,777.3806477777725
728,303.9398144444458
729,-375.8582561111105
730,-549.8510927777752
731,-189.79584444444842
732,3407.1687544444467
733,2136.041730555556
734,-324.3230150000019
735,-828.422347222222
736,-789.6472966666663
737,-1411.8772522222207
738,-2974.71994166667
739,-2850.7495666666655
740,-1929.949471111111
741,-1151.4192338888859
742,-435.8054972222235
743,-83.78630888888989
744,579.492431111112
745,-1423.5096108888883
746,-1892.6738298888922
747,1260.3284157777796
748,2193.078481055556
749,2128.4329222777774
750,1531.2336483333352
751,582.7794916666683
752,236.23543055555254
753,-506.76076611111085
754,-469.8399611111128
755,-359.3132561111087
756,4940.357650555554
757,2925.3680866666655
758,468.7319722222201
759,-92.7130155555494
760,-1151.8243383333358
761,-2103.7398299999986
762,-3080.8042761111137
763,-2671.952408333331
764,-1352.5442727777775
765,-1138.842856111114
766,-312.92924688888723
767,140.48877188888937
768,580.0807072222215
769,-576.8113653333348
770,-908.5782242222215
771,625.6015589444447
772,2409.7573081111077
773,2198.596305944448
774,1686.533375222221
775,839.1825241111075
776,-150.75816833333025
777,-347.52728999999795
778,-265.9460077777766
779,257.2346038888898
780,5313.78832166666
781,2592.7292466666695
782,-563.2178433333321
783,-420.35503666666426
784,-1781.5090955555604
785,-2736.281192222221
786,-3205.472873333336
787,-2593.1359633333304
788,-1635.6978461111103
789,-844.3733559444444
790,-471.0874143888884
791,114.56769588888689
792,692.6306505555568
793,-507.1577736666659
794,-467.7783174444446
795,1373.5364730000008
796,1786.4593736666682
797,1696.1216124444438
798,1218.1053169999977
799,457.14472333333487
800,93.68031222222275
801,-221.84268333332872
802,-208.63552555556095
803,158.83791722221926
804,5679.319459444447
805,2151.5716305555543
806,-674.5737094444447
807,-340.8857977777733
808,-1743.5275155555573
809,-2408.7447694444418
810,-3177.3602444444473
811,-2641.0258622222245
812,-1554.920580555554
813,-971.4032972222196
814,-196.44617666666826
815,-102.11764111111175
816,627.0082050000019
817,-537.6282609444461
818,-476.4806124444439
819,1450.003199333333
820,1618.2565238333334
821,1535.2195642222246
822,1245.837454888886
823,488.11199277777644
824,104.7445605555584
825,-1374.3005205555562
826,523.1005944444444
827,514.5841772222228
828,5808.84865611111
829,2434.901048888889
830,-732.4764361111085
831,-969.0579066666647
832,-1382.9188455555593
833,-2048.7262594444437
834,-3338.273108888887
835,-2794.836668333337
836,-1624.6569711111117
837,-1055.814986555553
838,-415.3333790555551
839,-31.31559505555746
840,669.8509875000036
841,-597.9754665555573
842,-469.62553727777987
843,1542.9955288888887
844,2047.2133844444436
845,1514.5554507222257
846,803.3035507222193
847,645.7143138888897
848,-10.863817777775553
849,-96.04704666666645
850,-212.4304213888897
851,339.91794244444446
852,5630.692155055556
853,2290.602950000001
854,-278.0896205555582
855,-572.3475416666623
856,-1506.7329538888914
857,-2535.120175555552
858,-3149.340548333341
859,-2766.050624999996
860,-1695.3019927777787
861,-920.2822344444427
862,-502.09889733333335
863,-0.11288249999967863
864,640.180706833331
865,-496.57585300000034
866,-568.2861855555548
867,1367.3539930555564
868,1755.1685323888892
869,1659.417181611112
870,1157.6711932222204
871,8.181992388890917
872,90.86540766666799
873,-327.06938066667124
874,-95.68121216666614
875,-43.505459888885575
876,5664.975553944445
877,2516.3019655555545
878,-551.1719316666675
879,-276.2939572222241
880,-1136.8473116666648
881,-2357.5402744444436
882,-2764.6671955555576
883,-2841.837651111109
884,-1984.145400555557
885,-1036.120540111111
886,-457.88417455555657
887,-16.166807944442322
888,609.5819603888905
889,-683.0339676111146
890,-1392.420616111109
891,1776.589486722221
892,2450.4584162222227
893,1737.9778235555527
894,1168.4123443333337
895,417.85845755555414
896,306.86932422222543
897,27.863171666667686
898,-633.2907511111113
899,-63.36506944444766
900,5163.044277777779
901,1951.4221572222234
902,-241.55291222222138
903,-471.68197666667066
904,-1388.2659349999994
905,-1630.5447338888844
906,-2808.567331666673
907,-3098.9880272222217
908,-1706.185134444444
909,-1132.215175055553
910,-449.19728188889
911,-247.6204156666643
912,458.72428583333397
913,-1100.4629804444464
914,-2138.931568666667
915,1191.805450666667
916,2280.83069272222
917,2129.5119872777796
918,1381.6409231666694
919,824.8335014999973
920,437.5454105555581
921,-146.70393833333563
922,-492.32301944444407
923,111.46646166666686
924,5345.502158333333
925,2232.6108161111115
926,109.3145027777756
927,-280.5246488888841
928,-1148.7763361111138
929,-1846.41061722222
930,-3191.0640877777805
931,-2732.2201394444423
932,-1579.3449716666692
933,-1133.7594654444438
934,-592.191394166668
935,87.89091477777973
936,782.8103982777774
937,-262.70853749999884
938,-149.5031693888905
939,1622.9769423333362
940,908.2841611111069
941,1383.8866915555552
942,1343.5387495555551
943,590.6439611111131
944,61.920320555553225
945,-396.3394233333312
946,320.6965543888875
947,713.4361693333337
948,5714.234139055559
949,1790.8138044444424
950,-488.41785777777835
951,-368.9843355555532
952,-1591.11692611111
953,-2666.1416466666706
954,-3197.766237222222
955,-2907.1307472222215
956,-1625.3396955555545
957,-937.4675754444435
958,-457.8371686666688
959,-71.36318238888815
960,720.2894068888872
961,-184.07825072222104
962,-2.803624611111594
963,1377.800569888888
964,1910.3777815555547
965,1392.8533297777792
966,1094.3400214444448
967,606.1848322777805
968,308.5443744444383
969,-621.8311094444399
970,265.391454444445
971,185.71373722222057
972,5440.433878333333
973,1819.6823483333321
974,-403.23359888888456
975,-391.75609000000236
976,-1572.1808877777803
977,-2726.027594999996
978,-3171.95304444445
979,-2855.799124444442
980,-1859.8437136666653
981,-890.72482438889
982,-395.7593632222216
983,-112.50875983333364
984,707.1063373333325
985,191.84406122222228
986,-516.5871110555566
987,1282.5365758888909
988,2023.6645327222213
989,1988.3564137222234
990,1761.7792392777742
991,860.7014814444484
992,-86.684187777784
993,-575.6498177777722
994,172.3587583333319
995,1130.4282288888896
996,4746.648882777776
997,1447.4091155555586
998,-656.6427816666693
999,-762.5404105555536
1000,-1594.6262305555574
1001,-3110.8669305555522
1002,-3283.3997450000024
1003,-2577.3606599999985
1004,-1596.5992813888915
1005,-965.1788296111081
1006,-424.30051672222345
1007,97.627343833334
1008,704.9177723333327
1009,-265.66361283333396
1010,-683.9004976111099
1011,1418.2146015555554
1012,2109.3570128888928
1013,1723.4468673333329
1014,931.95277422222
1015,859.8717508888875
1016,162.2423196111124
1017,-508.281614888889
1018,-239.53905522222362
1019,108.79911261111562
1020,5546.304849111104
1021,1713.5037172222287
1022,-326.43133611111256
1023,-295.3010216666662
1024,-1392.000682777776
1025,-2171.078462777783
1026,-3005.744108333332
1027,-3120.582213333335
1028,-2112.642175555553
1029,-1183.073672222223
1030,-499.3319443333351
1031,-85.6069774999995
1032,245.6349973333347
1033,-725.9797355555565
1034,-2497.1372408333336
1035,1228.7645017222237
1036,2212.6904905555552
1037,2093.569125500002
1038,1283.5207164999958
1039,131.54746683333735
1040,410.7163595555539
1041,-667.2951523888878
1042,-594.6814944444449
1043,277.5647926666678
1044,5362.177788277779
1045,1827.621466666663
1046,-95.7596261111141
1047,128.1669477777833
1048,-590.0854099999997
1049,-1457.3229544444475
1050,-2356.507271666669
1051,-2981.848057222218
1052,-1985.9371580000006
1053,-1171.4843168333355
1054,-485.47394233333233
1055,-155.45542511110958
1056,469.2802934999984
1057,-699.1171519999989
1058,-2197.4590588888896
1059,1474.0471336111098
1060,2491.99079438889
1061,2357.099334888892
1062,1340.57586222222
1063,422.47651572222117
1064,-70.62599572222113
1065,-219.49209066666646
1066,-420.19390450000384
1067,198.0770992777833
1068,5429.838048777776
1069,2003.2575766666662
1070,48.966249999997444
1071,-210.76622888888608
1072,-913.4067994444446
1073,-1442.181612777782
1074,-2628.0942288888837
1075,-2858.102521111112
1076,-2148.7132105555575
1077,-1224.623628333331
1078,-763.6107296111129
1079,-278.66163227777747
1080,387.41032772222184
1081,-761.6876231111111
1082,-2441.351058944445
1083,908.8996538333337
1084,2040.571726111113
1085,2167.8333153333315
1086,1457.7497105555562
1087,690.8087382777742
1088,175.9946664444504
1089,-30.42171744444925
1090,-364.8337213333287
1091,134.03079288888688
1092,5622.859303777776
1093,2219.3020072222243
1094,658.504984999996
1095,-7.187414999996479
1096,-1243.3785594444453
1097,-2204.78959611111
1098,-3409.1742449999983
1099,-2632.9886044444465
1100,-1708.5000236111118
1101,-920.458151499997
1102,-642.6827344444463
1103,134.2216445555567
1104,685.2347837222206
1105,90.04650227777893
1106,-666.8277745000014
1107,1251.1802071111124
1108,1904.113403055555
1109,1865.6969925555563
1110,1134.030590722221
1111,588.0313002222213
1112,-77.15313644444188
1113,34.73114722222103
1114,-195.10368172222277
1115,131.35203566667053
1116,5918.149114
1117,1734.6236116666698
1118,-467.788972222228
1119,-198.58700999999945
1120,-1451.3465766666668
1121,-2485.4722155555537
1122,-3524.05443
1123,-2818.735664444448
1124,-1763.083266111109
1125,-841.0190068333341
1126,-505.5614397222216
1127,-50.47599672222518
1128,644.4193960555583
1129,245.22978666666654
1130,-549.6752077222209
1131,1146.4440739444417
1132,1848.931851500001
1133,1694.4578074444435
1134,1097.1990402222216
1135,681.0566380555539
1136,55.134129111112735
1137,-255.22763477777679
1138,-410.8686041666663
1139,138.78615416666446
1140,5657.3564400000005
1141,2038.0001716666707
1142,-241.9154550000021
1143,-246.50296055555364
1144,-1304.7570800000028
1145,-2398.627735555554
1146,-3498.585224444443
1147,-2960.746623333336
1148,-1797.774622777775
1149,-1094.8471637777784
1150,-413.9747021111108
1151,62.23916038888615
1152,602.6180071666695
1153,198.97935205555422
1154,-788.2762823333304
1155,1216.4301015
1156,2043.8421279444449
1157,1499.0264436666619
1158,927.544256777779
1159,721.9068328333341
1160,317.3303075555559
1161,-138.57591133333324
1162,-378.5197188888923
1163,192.6458461111143
1164,5607.46363688889
1165,2086.281728333332
1166,-377.7255988888866
1167,-142.68675388889108
1168,-1306.4622972222205
1169,-2379.0164772222233
1170,-3672.2846949999985
1171,-3007.311706111111
1172,-1836.0914811111106
1173,-1206.7270649444454
1174,-483.2929143333332
1175,18.39015833333353
1176,693.1970196111105
1177,350.75886461110883
1178,-687.7246513333304
1179,1130.2042039444461
1180,2071.3756747222214
1181,1697.3333556666623
1182,1053.5247362777807
1183,588.8890513333318
1184,-222.1613849999994
1185,-65.95001077777502
1186,-242.1012065555587
1187,349.3463859444454
1188,5861.030063611109
1189,1976.3286533333332
1190,-293.8970377777767
1191,-217.91751833333183
1192,-1295.7079633333342
1193,-2569.092291111112
1194,-3367.16310111111
1195,-2971.139245555558
1196,-1944.8112244444455
1197,-1166.9257826111098
1198,-592.3603797222222
1199,-26.536261000001375
1200,705.3803732777798
1201,336.8916972777771
1202,-624.2630352777759
1203,1125.5891908333306
1204,1972.8609614999991
1205,1702.0498758333342
1206,1091.3971288333375
1207,-138.6694185000049
1208,302.9056373333371
1209,-353.26214983333193
1210,-302.12160577777814
1211,206.99550388888747
1212,5562.677927277779
1213,2173.4868394444425
1214,-163.08688055555484
1215,50.705753888890946
1216,-1207.5029600000014
1217,-2154.3924988888903
1218,-3291.7132349999993
1219,-3025.1644027777766
1220,-1875.936688333335
1221,-1383.164202944441
1222,-560.3337002777807
1223,-116.92305922222133
1224,561.8592695555545
1225,75.42655561110953
1226,-1426.5877139444437
1227,1323.6649271666665
1228,2467.3463176666673
1229,1909.4726342777801
1230,1307.5606371111137
1231,748.6241059999955
1232,261.3292256666685
1233,-362.96402944444344
1234,-328.30363650000066
1235,370.762963500001
1236,5207.358914666667
1237,1853.925846666665
1238,-354.3829477777802
1239,-414.41734388889023
1240,-1186.715112777776
1241,-1964.5576138888864
1242,-2996.5717294444476
1243,-3027.9985216666646
1244,-2063.381210555559
1245,-1223.8011747222188
1246,-931.1881130555573
1247,-140.16290888888778
1248,346.5288196666664
1249,-271.96968833333267
1250,-2719.8979239444434
1251,1054.2235830555549
1252,2484.4781783888902
1253,2715.3325178888895
1254,1676.1698183888873
1255,249.1930326666662
1256,-37.62883333333212
1257,219.60610000000094
1258,-690.2226293888925
1259,14.855881611110593
1260,5504.597348888888
1261,2040.42005666667
1262,365.25577222222273
1263,-156.94281722222155
1264,-1007.9560700000002
